algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,459,291,160,160,1.0000
IDENTITY,values,292,291,160,160,1.0000
IDENTITY,combined,292,292,320,320,1.0000
TS_2DIFF,timestamps,10875,17833,160,25,0.1563
TS_2DIFF,values,9334,19000,160,162,1.0125
TS_2DIFF,combined,4583,21458,320,189,0.5906
GORILLA,timestamps,26625,11417,160,161,1.0063
GORILLA,values,21958,12542,160,132,0.8250
GORILLA,combined,18833,21875,320,327,1.0219
BIT_PACKING,timestamps,19541,19916,160,108,0.6750
BIT_PACKING,values,6208,7125,160,163,1.0188
BIT_PACKING,combined,14542,13625,320,320,1.0000
RLE,timestamps,7708,6167,160,276,1.7250
RLE,values,9291,6125,160,318,1.9875
RLE,combined,15375,12000,320,594,1.8563
HUFFMAN,timestamps,136833,44292,160,191,1.1938
HUFFMAN,values,134958,167875,160,553,3.4563
HUFFMAN,combined,198584,133166,320,740,2.3125
DICTIONARY,timestamps,26125,17375,160,328,2.0500
DICTIONARY,values,23166,16209,160,328,2.0500
DICTIONARY,combined,29125,32584,320,648,2.0250
