encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,19000,38584,18375,19750,160,27,31,0.1688,0.1938
TS_2DIFF,GZIP,values,10542,11834,12333,20750,160,160,183,1.0000,1.1438
TS_2DIFF,GZIP,combined,24292,32583,26791,41458,320,191,210,0.5969,0.6563
TS_2DIFF,SNAPPY,timestamps,2625,1042,833,7833,160,27,15,0.1688,0.0938
TS_2DIFF,SNAPPY,values,7291,1250,833,8584,160,160,164,1.0000,1.0250
TS_2DIFF,SNAPPY,combined,5375,1041,791,10958,320,191,182,0.5969,0.5688
TS_2DIFF,LZ4,timestamps,2416,1334,750,5209,160,27,23,0.1688,0.1438
TS_2DIFF,LZ4,values,3667,1458,708,6084,160,160,166,1.0000,1.0375
TS_2DIFF,LZ4,combined,5459,1458,708,9667,320,191,183,0.5969,0.5719
TS_2DIFF,ZLIB,timestamps,2625,5417,2625,6041,160,27,19,0.1688,0.1188
TS_2DIFF,ZLIB,values,3833,8542,3708,5958,160,160,171,1.0000,1.0688
TS_2DIFF,ZLIB,combined,3042,12875,3208,10041,320,191,198,0.5969,0.6188
GORILLA,GZIP,timestamps,25458,10583,10875,19291,160,157,163,0.9813,1.0188
GORILLA,GZIP,values,13291,20000,11625,15042,160,128,151,0.8000,0.9438
GORILLA,GZIP,combined,24500,18875,11333,31000,320,323,336,1.0094,1.0500
GORILLA,SNAPPY,timestamps,12042,1292,1000,15541,160,157,161,0.9813,1.0063
GORILLA,SNAPPY,values,11542,1291,959,15166,160,128,132,0.8000,0.8250
GORILLA,SNAPPY,combined,24083,1167,2334,29958,320,323,328,1.0094,1.0250
GORILLA,LZ4,timestamps,11875,1666,875,15958,160,157,163,0.9813,1.0188
GORILLA,LZ4,values,11125,1709,917,13542,160,128,134,0.8000,0.8375
GORILLA,LZ4,combined,25625,1916,834,29417,320,323,330,1.0094,1.0313
GORILLA,ZLIB,timestamps,13125,11166,3209,15167,160,157,151,0.9813,0.9438
GORILLA,ZLIB,values,11083,9667,2458,16958,160,128,139,0.8000,0.8688
GORILLA,ZLIB,combined,23916,14916,3375,29167,320,323,324,1.0094,1.0125
RLE,GZIP,timestamps,11166,10167,12458,14208,160,276,92,1.7250,0.5750
RLE,GZIP,values,11667,15375,10458,15375,160,318,247,1.9875,1.5438
RLE,GZIP,combined,24667,38167,14875,37667,320,594,310,1.8563,0.9688
RLE,SNAPPY,timestamps,9875,1167,1041,12541,160,276,123,1.7250,0.7688
RLE,SNAPPY,values,10625,1292,1000,13042,160,318,293,1.9875,1.8313
RLE,SNAPPY,combined,33458,1750,1167,26292,320,594,404,1.8563,1.2625
RLE,LZ4,timestamps,9833,1666,833,12833,160,276,101,1.7250,0.6313
RLE,LZ4,values,9708,1750,708,12083,160,318,292,1.9875,1.8250
RLE,LZ4,combined,17375,1625,708,22041,320,594,385,1.8563,1.2031
RLE,ZLIB,timestamps,8875,6042,2042,10917,160,276,80,1.7250,0.5000
RLE,ZLIB,values,10709,11458,4708,3750,160,318,235,1.9875,1.4688
RLE,ZLIB,combined,5042,15000,5375,7000,320,594,298,1.8563,0.9313
