algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,542,291,160,160,1.0000
IDENTITY,values,292,292,160,160,1.0000
IDENTITY,combined,292,250,320,320,1.0000
TS_2DIFF,timestamps,7625,18667,160,25,0.1563
TS_2DIFF,values,9542,35042,160,162,1.0125
TS_2DIFF,combined,8042,16500,320,189,0.5906
GORILLA,timestamps,23584,13959,160,161,1.0063
GORILLA,values,9583,10333,160,132,0.8250
GORILLA,combined,41166,26458,320,327,1.0219
CHIMP,timestamps,12458,6750,160,194,1.2125
CHIMP,values,10083,6708,160,160,1.0000
CHIMP,combined,20000,10292,320,385,1.2031
BIT_PACKING,timestamps,19542,19791,160,108,0.6750
BIT_PACKING,values,6333,7042,160,163,1.0188
BIT_PACKING,combined,17083,13792,320,320,1.0000
RLE,timestamps,7625,6166,160,276,1.7250
RLE,values,9583,6291,160,318,1.9875
RLE,combined,15041,11959,320,594,1.8563
HUFFMAN,timestamps,147916,52250,160,191,1.1938
HUFFMAN,values,138375,89250,160,553,3.4563
HUFFMAN,combined,198458,135084,320,740,2.3125
GOLOMB_RICE,timestamps,105000,115625,160,652,4.0750
GOLOMB_RICE,values,38750,115833,160,652,4.0750
GOLOMB_RICE,combined,37375,54083,320,1299,4.0594
SPRINTZ,timestamps,3208,4917,160,8,0.0500
SPRINTZ,values,4834,22875,160,12,0.0750
SPRINTZ,combined,16958,20917,320,298,0.9313
RLBE,timestamps,2792,1459,160,6,0.0375
RLBE,values,25334,27167,160,303,1.8938
RLBE,combined,25292,30292,320,331,1.0344
RAKE,timestamps,2167,6833,160,6,0.0375
RAKE,values,3833,21084,160,8,0.0500
RAKE,combined,9291,14958,320,166,0.5188
DICTIONARY,timestamps,27333,18083,160,328,2.0500
DICTIONARY,values,24041,17041,160,328,2.0500
DICTIONARY,combined,29083,27375,320,648,2.0250
