algorithm,target,compress_time_ns,decompress_time_ns,original_size_bytes,compressed_size_bytes,compression_ratio
IDENTITY,timestamps,333,250,80,80,1.0000
IDENTITY,values,292,250,80,80,1.0000
IDENTITY,combined,292,292,160,160,1.0000
GZIP,timestamps,9083,12500,80,52,0.6500
GZIP,values,11792,12708,80,103,1.2875
GZIP,combined,11709,10875,160,136,0.8500
SNAPPY,timestamps,1875,1666,80,50,0.6250
SNAPPY,values,1750,1416,80,83,1.0375
SNAPPY,combined,1958,1583,160,128,0.8000
LZ4,timestamps,2875,1542,80,53,0.6625
LZ4,values,2792,1375,80,86,1.0750
LZ4,combined,6542,1500,160,130,0.8125
ZLIB,timestamps,5542,2625,80,40,0.5000
ZLIB,values,6583,2584,80,91,1.1375
ZLIB,combined,7875,4458,160,124,0.7750
