algorithm,target,encode_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,compression_ratio
IDENTITY,timestamps,334,291,200,200,1.0000
IDENTITY,values,292,250,200,200,1.0000
IDENTITY,combined,292,292,400,400,1.0000
TS_2DIFF,timestamps,8750,26375,200,30,0.1500
TS_2DIFF,values,11958,17875,200,200,1.0000
TS_2DIFF,combined,5667,21875,400,232,0.5800
GORILLA,timestamps,27834,19292,200,200,1.0000
GORILLA,values,13292,14250,200,164,0.8200
GORILLA,combined,22875,30166,400,407,1.0175
BIT_PACKING,timestamps,23541,11875,200,134,0.6700
BIT_PACKING,values,7291,8250,200,202,1.0100
BIT_PACKING,combined,12917,15667,400,399,0.9975
RLE,timestamps,11208,7334,200,346,1.7300
RLE,values,9667,7666,200,398,1.9900
RLE,combined,19000,15333,400,744,1.8600
HUFFMAN,timestamps,128625,50791,200,233,1.1650
HUFFMAN,values,156500,106750,200,665,3.3250
HUFFMAN,combined,269666,171208,400,898,2.2450
DICTIONARY,timestamps,26709,21375,200,408,2.0400
DICTIONARY,values,24459,16708,200,408,2.0400
DICTIONARY,combined,29333,15875,400,808,2.0200
