encoder,compressor,target,encode_time_ns,compress_time_ns,decompress_time_ns,decode_time_ns,original_size_bytes,encoded_size_bytes,final_size_bytes,encoding_ratio,final_ratio
TS_2DIFF,GZIP,timestamps,8792,9833,15125,108334,80,17,31,0.2125,0.3875
TS_2DIFF,GZIP,values,25541,12500,28750,16875,80,80,103,1.0000,1.2875
TS_2DIFF,GZIP,combined,9208,14375,12750,22625,160,101,124,0.6313,0.7750
TS_2DIFF,SNAPPY,timestamps,2792,917,750,4875,80,17,19,0.2125,0.2375
TS_2DIFF,SNAPPY,values,5417,1083,750,5875,80,80,83,1.0000,1.0375
TS_2DIFF,SNAPPY,combined,3417,917,791,8333,160,101,100,0.6313,0.6250
TS_2DIFF,LZ4,timestamps,1875,1250,708,4417,80,17,23,0.2125,0.2875
TS_2DIFF,LZ4,values,2500,1333,709,4458,80,80,86,1.0000,1.0750
TS_2DIFF,LZ4,combined,3250,1333,750,7583,160,101,103,0.6313,0.6438
TS_2DIFF,ZLIB,timestamps,2500,5709,2792,7459,80,17,19,0.2125,0.2375
TS_2DIFF,ZLIB,values,3959,7584,2791,4958,80,80,91,1.0000,1.1375
TS_2DIFF,ZLIB,combined,4083,7875,2625,6000,160,101,112,0.6313,0.7000
GORILLA,GZIP,timestamps,43125,37125,29750,42833,80,79,95,0.9875,1.1875
GORILLA,GZIP,values,16417,12792,12292,12000,80,65,88,0.8125,1.1000
GORILLA,GZIP,combined,10834,11541,13459,13666,160,146,166,0.9125,1.0375
GORILLA,SNAPPY,timestamps,5583,1041,875,7125,80,79,82,0.9875,1.0250
GORILLA,SNAPPY,values,5250,959,792,6250,80,65,68,0.8125,0.8500
GORILLA,SNAPPY,combined,10417,1000,792,12958,160,146,150,0.9125,0.9375
GORILLA,LZ4,timestamps,5250,1459,875,6459,80,79,85,0.9875,1.0625
GORILLA,LZ4,values,4958,1333,708,6292,80,65,71,0.8125,0.8875
GORILLA,LZ4,combined,9875,1500,708,14125,160,146,152,0.9125,0.9500
GORILLA,ZLIB,timestamps,5084,6042,2292,6250,80,79,83,0.9875,1.0375
GORILLA,ZLIB,values,4708,6084,1875,6250,80,65,76,0.8125,0.9500
GORILLA,ZLIB,combined,9792,8333,2375,12750,160,146,154,0.9125,0.9625
RLE,GZIP,timestamps,4541,6916,7500,5958,80,138,63,1.7250,0.7875
RLE,GZIP,values,5041,11375,8917,6458,80,158,147,1.9750,1.8375
RLE,GZIP,combined,10250,10750,8417,11584,160,296,186,1.8500,1.1625
RLE,SNAPPY,timestamps,4542,958,833,5750,80,138,72,1.7250,0.9000
RLE,SNAPPY,values,4917,1000,833,6500,80,158,151,1.9750,1.8875
RLE,SNAPPY,combined,9583,1083,875,11708,160,296,210,1.8500,1.3125
RLE,LZ4,timestamps,4667,1333,709,5833,80,138,60,1.7250,0.7500
RLE,LZ4,values,4792,1333,667,6125,80,158,157,1.9750,1.9625
RLE,LZ4,combined,9292,1375,667,11625,160,296,208,1.8500,1.3000
RLE,ZLIB,timestamps,4625,4917,1916,5833,80,138,51,1.7250,0.6375
RLE,ZLIB,values,5250,7375,4792,6292,80,158,135,1.9750,1.6875
RLE,ZLIB,combined,8709,10292,3875,3292,160,296,174,1.8500,1.0875
